query	gene_name	cluster	gene_set	Description
smc1-259	SMC1	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure
smc3-1	SMC3	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
smc3-42	SMC3	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
smc4-1	SMC4	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of the condensin complex; condensin reorganizes chromosomes during both mitosis and meiosis; forms a subcomplex with Smc2p that has ATP-hydrolyzing and DNA-binding activity, but other condensin subunits are required for chromatin binding; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate
spc25-1	SPC25	pos_with_GAP	kinetochore, spindle assembly checkpoint	Component of the kinetochore-associated Ndc80 complex; involved in chromosome segregation, spindle checkpoint activity, and kinetochore clustering; evolutionarily conserved; other members include Ndc80p, Nuf2p, Spc24p, and Spc25p
spc105-15	SPC105	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation
spc105-4	SPC105	pos_with_GAP	kinetochore, spindle assembly checkpoint	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation
spc19-5001	SPC19	pos_with_GAP	kinetochore, spindle assembly checkpoint	Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body
spc24-9	SPC24	pos_with_GAP	kinetochore, spindle assembly checkpoint	Component of the kinetochore-associated Ndc80 complex; involved in chromosome segregation, spindle checkpoint activity, and kinetochore clustering; evolutionarily conserved; other members include Ndc80p, Nuf2p, Spc24p, and Spc25p
tub4-y445d	TUB4	pos_with_GAP	kinetochore, spindle assembly checkpoint	Gamma-tubulin; involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body; protein abundance increases in response to DNA replication stress
bub3	BUB3	pos_with_GAP	spindle assembly checkpoint	Kinetochore checkpoint WD40 repeat protein; localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p; functions at kinetochore to activate APC/C-Cdc20p for normal mitotic progression
cdc20-1	CDC20	pos_with_GAP	spindle assembly checkpoint	Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress
chl4	CHL4	pos_with_GAP	spindle assembly checkpoint	Outer kinetochore protein required for chromosome stability; involved in new kinetochore assembly and sister chromatid cohesion; forms a stable complex with Iml3p; peripheral component of the Ctf19 kinetochore complex that interacts with Ctf19p, Ctf3p, and Mif2p; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-N and fission yeast mis15
ctf19	CTF19	pos_with_GAP	spindle assembly checkpoint	Outer kinetochore protein, needed for accurate chromosome segregation; component of kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as platform for kinetochore assembly; required for spindle assembly checkpoint; minimizes potentially deleterious centromere-proximal crossovers by preventing meiotic DNA break formation proximal to centromere; homolog of human centromere constitutive-associated network (CCAN) subunit CENP-P and fission yeast fta2
ctf3	CTF3	pos_with_GAP	spindle assembly checkpoint	Outer kinetochore protein that forms a complex with Mcm16p and Mcm22p; may bind the kinetochore to spindle microtubules; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-I and fission yeast mis6
dsn1-7	DSN1	pos_with_GAP	spindle assembly checkpoint	Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; phosphorylation promotes interaction between outer and inner kinetochore proteins; kinetochore receptor for monopolin, via interaction with Csm1p; essential for both meiotic and mitotic chromosome segregation; MIND complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; phosphorylated by monopolin subunit, Hrr25p and Aurora kinase, Ipl1p; modified by sumoylation
dsn1-8	DSN1	pos_with_GAP	spindle assembly checkpoint	Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; phosphorylation promotes interaction between outer and inner kinetochore proteins; kinetochore receptor for monopolin, via interaction with Csm1p; essential for both meiotic and mitotic chromosome segregation; MIND complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; phosphorylated by monopolin subunit, Hrr25p and Aurora kinase, Ipl1p; modified by sumoylation
ipl1-2	IPL1	pos_with_GAP	spindle assembly checkpoint	Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest
mad1	MAD1	pos_with_GAP	spindle assembly checkpoint	Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability
mad2	MAD2	pos_with_GAP	spindle assembly checkpoint	Component of the spindle-assembly checkpoint complex; delays onset of anaphase in cells with defects in mitotic spindle assembly; forms a complex with Mad1p; regulates APC/C activity during prometaphase and metaphase of meiosis I; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability
mcm21	MCM21	pos_with_GAP	spindle assembly checkpoint	Component of the kinetochore sub-complex COMA; COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) bridges kinetochore subunits in contact with centromeric DNA with subunits bound to microtubules during kinetochore assembly; involved in minichromosome maintenance; modified by sumoylation; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-O and fission yeast mal2
mps1-3796	MPS1	pos_with_GAP	spindle assembly checkpoint	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p
mps1-417	MPS1	pos_with_GAP	spindle assembly checkpoint	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p
nnf1-77	NNF1	pos_with_GAP	spindle assembly checkpoint	Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for kinetochore bi-orientation and accurate chromosome segregation; complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; homologous to metazoan CENP-H proteins
nsl1-6	NSL1	pos_with_GAP	spindle assembly checkpoint	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
spc105-15	SPC105	pos_with_GAP	spindle assembly checkpoint	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation
spc105-4	SPC105	pos_with_GAP	spindle assembly checkpoint	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation
ceg1-ts	CEG1	pos_with_GAP	5' mRNA capping	Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant
ceg1-34	CEG1	mixed	5' mRNA capping	Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant
cet1-15	CET1	pos_with_GAP	5' mRNA capping	RNA 5'-triphosphatase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of a Cet1p homodimer and two molecules of guanylyltransferase Ceg1p; Cet1p also has a role in regulation of RNAPII pausing at promoter-proximal sites; interaction between Cet1p and Ceg1p is required for Ceg1p nuclear import; mammalian enzyme is single bifunctional polypeptide; human homolog RNGTT can complement yeast cet1 null mutant
cet1-2	CET1	pos_with_GAP	5' mRNA capping	RNA 5'-triphosphatase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of a Cet1p homodimer and two molecules of guanylyltransferase Ceg1p; Cet1p also has a role in regulation of RNAPII pausing at promoter-proximal sites; interaction between Cet1p and Ceg1p is required for Ceg1p nuclear import; mammalian enzyme is single bifunctional polypeptide; human homolog RNGTT can complement yeast cet1 null mutant
dcs1	DCS1	pos_with_GAP	5' mRNA capping	Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication
pab1-5001	PAB1	pos_with_GAP	5' mRNA capping	Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex
pab1-5002	PAB1	pos_with_GAP	5' mRNA capping	Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex
caf40	CAF40	mixed	transcription regulation and mediator complex	Component of the CCR4-NOT transcriptional complex; evolutionarily conserved; involved in controlling mRNA initiation, elongation, and degradation; binds Cdc39p
cdc73	CDC73	pos_with_GAP	transcription regulation and mediator complex	Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of certain genes, modification of some histones, and telomere maintenance; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay; protein abundance increases in response to DNA replication stress; human homolog, parafibromin, is a tumour suppressor linked to breast, renal and gastric cancers
med11-ts	MED11	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential protein
med6-5001	MED6	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; protein abundance increases in response to DNA replication stress
med6-ts	MED6	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; protein abundance increases in response to DNA replication stress
med7-163	MED7	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
med7-141	MED7	mixed	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
med8-51	MED8	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
rba50-5001	RBA50	pos_with_GAP	transcription regulation and mediator complex	Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1
sgv1-23	SGV1	pos_with_GAP	transcription regulation and mediator complex	Cyclin (Bur2p)-dependent protein kinase; part of the BUR kinase complex which functions in transcriptional regulation; phosphorylates the carboxy-terminal domain (CTD) of Rpo21p and the C-terminal repeat domain of Spt5p; recruits Spt6p to the CTD at the onset of transcription; regulated by Cak1p; similar to metazoan CDK9 proteins
sgv1-35	SGV1	pos_with_GAP	transcription regulation and mediator complex	Cyclin (Bur2p)-dependent protein kinase; part of the BUR kinase complex which functions in transcriptional regulation; phosphorylates the carboxy-terminal domain (CTD) of Rpo21p and the C-terminal repeat domain of Spt5p; recruits Spt6p to the CTD at the onset of transcription; regulated by Cak1p; similar to metazoan CDK9 proteins
sgv1-80	SGV1	pos_with_GAP	transcription regulation and mediator complex	Cyclin (Bur2p)-dependent protein kinase; part of the BUR kinase complex which functions in transcriptional regulation; phosphorylates the carboxy-terminal domain (CTD) of Rpo21p and the C-terminal repeat domain of Spt5p; recruits Spt6p to the CTD at the onset of transcription; regulated by Cak1p; similar to metazoan CDK9 proteins
soh1	SOH1	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits
srb2	SRB2	pos_with_GAP	transcription regulation and mediator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance
ssl1-t242i	SSL1	pos_with_GAP	transcription regulation and mediator complex	Subunit of the core form of RNA polymerase transcription factor TFIIH; has both protein kinase and DNA-dependent ATPase/helicase activities; essential for transcription and nucleotide excision repair; interacts with Tfb4p
sub1	SUB1	pos_with_GAP	transcription regulation and mediator complex	Transcriptional regulator; facilitates elongation through factors that modify RNAP II; role in peroxide resistance involving Rad2p; role in nonhomologous end-joining (NHEJ) of ds breaks in plasmid DNA, but not chromosomal DNA; role in the hyperosmotic stress response through polymerase recruitment at RNAP II and RNAP III genes; negatively regulates sporulation; protein abundance increases in response to DNA replication stress; functionally complemented by human SUB1 (PC4)
sum1	SUM1	pos_with_GAP	transcription regulation and mediator complex	Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint
tfb4-5001	TFB4	mixed	transcription regulation and mediator complex	Subunit of TFIIH complex; involved in transcription initiation, similar to 34 kDa subunit of human TFIIH; interacts with Ssl1p
arc1	ARC1	pos_with_GEF	tRNA modification	Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p
deg1	DEG1	pos_with_GEF	tRNA modification	tRNA:pseudouridine synthase; introduces pseudouridines at position 38 or 39 in tRNA; also responsible for pseudouracil modification of some mRNAs; important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability
elp4	ELP4	pos_with_GEF	tRNA modification	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity; null mutation is functionally complemented by human ELP4
iki1	IKI1	pos_with_GEF	tRNA modification	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; iki1 mutations confer resistance to the K. lactis toxin zymocin
uba4	UBA4	pos_with_GEF	tRNA modification	E1-like protein that activates Urm1p before urmylation; also acts in thiolation of the wobble base of cytoplasmic tRNAs by adenylating and then thiolating Urm1p; receives sulfur from Tum1p
urm1	URM1	pos_with_GEF	tRNA modification	Ubiquitin-like protein involved in thiolation of cytoplasmic tRNAs; receives sulfur from the E1-like enzyme Uba4p and transfers it to tRNA; also functions as a protein tag with roles in nutrient sensing and oxidative stress response
act1-112	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-119	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-121	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-124	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-125	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-136	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-155	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
act1-3	ACT1	pos_with_GEF	actin and polarity	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions
arc15-10	ARC15	pos_with_GEF	actin and polarity	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity
arc18	ARC18	pos_with_GEF	actin and polarity	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches
bni1	BNI1	pos_with_GEF	actin and polarity	Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1
boi2	BOI2	pos_with_GEF	actin and polarity	Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; BOI2 has a paralog, BOI1, that arose from the whole genome duplication
cap1	CAP1	pos_with_GEF	actin and polarity	Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress
cap2	CAP2	pos_with_GEF	actin and polarity	Beta subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress
cct2-5001	CCT2	pos_with_GEF	actin and polarity	Subunit beta of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo
cdc24-11	CDC24	pos_with_GEF	actin and polarity	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
cdc24-1	CDC24	pos_with_GEF	actin and polarity	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
cdc24-h	CDC24	pos_with_GEF	actin and polarity	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
cin2	CIN2	mixed	actin and polarity	GTPase-activating protein (GAP) for Cin4p; tubulin folding factor C involved in beta-tubulin (Tub2p) folding; mutants display increased chromosome loss and benomyl sensitivity; human homolog RP2 complements yeast null mutant
cin4	CIN4	pos_with_GEF	actin and polarity	GTP-binding protein involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl; regulated by the GTPase-activating protein, Cin2p, the human retinitis pigmentosa 2 (RP2) homolog
cmd1-8	CMD1	pos_with_GEF	actin and polarity	Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability
cof1-8	COF1	pos_with_GEF	actin and polarity	Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes
rho3-1	RHO3	pos_with_GEF	actin and polarity	Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p
tub2-430	TUB2	pos_with_GEF	actin and polarity	Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria
ecm1	ECM1	pos_with_all	ribosomal	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
jjj1	JJJ1	pos_with_GEF	ribosomal	Co-chaperone that stimulates the ATPase activity of Ssa1p; required for a late step of ribosome biogenesis; associated with the cytosolic large ribosomal subunit; contains a J-domain; mutation causes defects in fluid-phase endocytosis
mak21-1	MAK21	mixed	ribosomal	Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein
nop9-5001	NOP9	mixed	ribosomal	Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain
rpl8a	RPL8A	pos_with_GEF	ribosomal	Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication
rpl9b	RPL9B	pos_with_GEF	ribosomal	Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog, RPL9A, that arose from a single-locus duplication
rpp1b	RPP1B	pos_with_GEF	ribosomal	Ribosomal protein P1 beta; component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome; free (non-ribosomal) P1 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; accumulation is regulated by phosphorylation and interaction with the P2 stalk component
rpp2a	RPP2A	pos_with_GEF	ribosomal	Ribosomal protein P2 alpha; a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P2 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm
rps24b	RPS24B	pos_with_GEF	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24, no bacterial homolog; RPS24B has a paralog, RPS24A, that arose from the whole genome duplication
rrp15-5007	RRP15	pos_with_GEF	ribosomal	Nucleolar protein; constituent of pre-60S ribosomal particles; required for proper processing of the 27S pre-rRNA at the A3 and B1 sites to yield mature 5.8S and 25S rRNAs
rpl35b	RPL35B	mixed	ribosomal	Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog, RPL35A, that arose from the whole genome duplication
rpl43a	RPL43A	mixed	ribosomal	Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication
rpl8b	RPL8B	mixed	ribosomal	Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication
rps27a	RPS27A	mixed	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27A has a paralog, RPS27B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress
rps29b	RPS29B	mixed	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29B has a paralog, RPS29A, that arose from the whole genome duplication
rps11b	RPS11B	pos_with_GEF	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog, RPS11A, that arose from the whole genome duplication
rps16a	RPS16A	pos_with_GEF	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16A has a paralog, RPS16B, that arose from the whole genome duplication
rpl16b	RPL16B	mixed	ribosomal	Ribosomal 60S subunit protein L16B; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16B has a paralog, RPL16A, that arose from the whole genome duplication
rpl6b	RPL6B	mixed	ribosomal	Ribosomal 60S subunit protein L6B; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6B has a paralog, RPL6A, that arose from the whole genome duplication
rps18b	RPS18B	pos_with_GEF	ribosomal	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18B has a paralog, RPS18A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress
rps19b	RPS19B	pos_with_GEF	ribosomal	Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19B has a paralog, RPS19A, that arose from the whole genome duplication
sof1-5001	SOF1	pos_with_GEF	ribosomal	Protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p; essential gene
