name	cluster_number	ORF	description	name_meaning
COY1	191	YKL179C	Golgi membrane protein with similarity to mammalian CASP; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in Golgi function	CASP Of Yeast
CPA1	192	YOR303W	Small subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader	Carbamyl Phosphate synthetase A
CPR1	193	YDR155C	Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress	Cyclosporin A-sensitive Proline Rotamase
CPR5	194	YDR304C	Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER; catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER; CPR5 has a paralog, CPR2, that arose from the whole genome duplication	Cyclosporin-sensitive Proline Rotamase
CPR7	195	YJR032W	Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity; plays a role in determining prion variants	Cyclosporin-sensitive Proline Rotamase
CRD1	196	YDL142C	Cardiolipin synthase; produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function and for correct integration of membrane-multispanning proteins into the mitochondrial outer membrane; required to maintain tubular mitochondrial morphology and functions in mitochondrial fusion; also required for normal vacuolar ion homeostasis	CaRDiolipin synthase
CRN1	197	YLR429W	Coronin; cortical actin cytoskeletal component that associates with the Arp2p/Arp3p complex to regulate its activity; plays a role in regulation of actin patch assembly	CoRoNin
CRZ1	198	YNL027W	Transcription factor, activates transcription of stress response genes; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation; rapidly localizes to the nucleus under blue light stress; can be activated in stochastic pulses of nuclear localization in response to calcium	Calcineurin-Responsive Zinc finger
CSE2	199	YNR010W	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; component of the Middle domain of mediator; required for regulation of RNA polymerase II activity; relocalizes to the cytosol in response to hypoxia	Chromosome SEgregation
CSF1	200	YLR087C	Protein required for fermentation at low temperature; plays a role in the maturation of secretory proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Cold Sensitive for Fermentation
CSG2	201	YBR036C	Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress	Calcium Sensitive Growth
CSM1	202	YCR086W	Nucleolar protein that mediates homolog segregation during meiosis I; forms a complex with Lrs4p and then Mam1p at kinetochores; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation	Chromosome Segregation in Meiosis
CSM3	203	YMR048W	Replication fork associated factor; required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis; forms nuclear foci upon DNA replication stress	Chromosome Segregation in Meiosis
CSN12	204	YJR084W	Protein that forms a complex with Thp3p; may have a role in transcription elongation and/or mRNA splicing; identified as a COP9 signalosome component but phenotype and interactions suggest it may not be involved with the signalosome	NA
CSR2	205	YPR030W	Nuclear ubiquitin protein ligase binding protein; may regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p; CSR2 has a paralog, ECM21, that arose from the whole genome duplication	Chs5 Spa2 Rescue
CST6	206	YIL036W	Basic leucine zipper (bZIP) transcription factor from ATF/CREB family involved in stress-responsive regulatory network; mediates transcriptional activation of NCE103 in response to low CO2 levels; proposed to be a regulator of oleate responsive genes; involved in utilization of non-optimal carbon sources and chromosome stability; relocalizes to the cytosol in response to hypoxia; CST6 has a paralog, ACA1, that arose from the whole genome duplication	Chromosome STability
CTF18	207	YMR078C	Subunit of a complex with Ctf8p; shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint	Chromosome Transmission Fidelity
CTF19	161	YPL018W	Outer kinetochore protein, needed for accurate chromosome segregation; component of kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as platform for kinetochore assembly; required for spindle assembly checkpoint; minimizes potentially deleterious centromere-proximal crossovers by preventing meiotic DNA break formation proximal to centromere; homolog of human centromere constitutive-associated network (CCAN) subunit CENP-P and fission yeast fta2	Chromosome Transmission Fidelity
CTF4	208	YPR135W	Chromatin-associated protein; required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion	Chromosome Transmission Fidelity
CTI6	209	YPL181W	Component of the Rpd3L histone deacetylase complex; relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain	Cyc8-Tup1 Interacting protein
CTK1	210	YKL139W	Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and ribosomal protein Rps2p to increase translational fidelity; required for H3K36 trimethylation but not dimethylation by Set2p; suggested stimulatory role in 80S formation during translation initiation; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13	Carboxy-Terminal domain Kinase
CTK3	210	YML112W	Gamma subunit of C-terminal domain kinase I; CTDK-I phosphorylates RNA polymerase II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and also phosphorylates ribosomal protein Rps2p to increase translational fidelity; protein abundance increases in response to DNA replication stress	Carboxy-Terminal domain Kinase
CTP1	211	YBR291C	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family	Citrate Transport Protein
CUE1	212	YMR264W	Ubiquitin-binding protein; ER membrane protein that recruits and integrates the ubiquitin-conjugating enzyme Ubc7p into ER membrane-bound ubiquitin ligase complexes that function in the ER-associated degradation (ERAD) pathway for misfolded proteins; contains a CUE domain that binds ubiquitin to facilitate intramolecular monoubiquitination and to promote diubiquitin elongation, facilitating polyubiquitin chain formation	Coupling of Ubiquitin conjugation to ER degradation
CUE2	213	YKL090W	Protein of unknown function; has two CUE domains that bind ubiquitin, which may facilitate intramolecular monoubiquitination	Coupling of Ubiquitin conjugation to ER degradation
CUE3	214	YGL110C	Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination	Coupling of Ubiquitin conjugation to ER degradation
CUE4	215	YML101C	Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE4 has a paralog, CUE1, that arose from the whole genome duplication	Coupling of Ubiquitin conjugation to ER degradation
CUE5	216	YOR042W	Ubiquitin-binding protein; functions as ubiquitin-Atg8p adaptor in ubiquitin-dependent autophagy; serves as proteaphagy receptor for inactivated 26S proteasomes; contains CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE5 has a paralog, DON1, that arose from the whole genome duplication; human TOLLIP is a functional CUE-domain homolog, can complement yeast null mutant, rescuing hypersensitivity of cue5 null mutant cells to Htt-96Q	Coupling of Ubiquitin conjugation to ER degradation
CUL3	217	YGR003W	Ubiquitin-protein ligase; forms a complex with Elc1p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; cullin family member with similarity to Cdc53p and human CUL3	CULlin
CUP9	218	YPL177C	Homeodomain-containing transcriptional repressor; regulates expression of PTR2, which encodes a major peptide transporter; imported peptides activate ubiquitin-dependent proteolysis, resulting in degradation of Cup9p and de-repression of PTR2 transcription; CUP9 has a paralog, TOS8, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	NA
CWC15	219	YDR163W	Non-essential protein involved in pre-mRNA splicing; component of a complex containing Cef1p; has similarity to S. pombe Cwf15p	Complexed With Cef1p
CWC21	220	YDR482C	Protein involved in RNA splicing by the spliceosome; component of a complex containing Cef1p; interacts genetically with ISY1 and BUD13; may bind RNA; has similarity to S. pombe Cwf21p	Complexed With Cef1p
CWH41	221	YGL027C	Processing alpha glucosidase I; ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress	Calcofluor White Hypersensitive
CWH43	222	YCR017C	GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion	Calcofluor White Hypersensitive
CYK3	223	YDL117W	SH3-domain protein located in the bud neck and cytokinetic actin ring; relocalizes from bud neck to nucleus upon DNA replication stress; activates the chitin synthase activity of Chs2p during cytokinesis; suppressor of growth and cytokinesis defects of chs2 phospho-mutants	CYtoKinesis
CYT1	224	YOR065W	Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex	CYTochrome c1
DAL81	92	YIR023W	Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism	Degradation of Allantoin
DAS1	225	YJL149W	Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C	Dst1-delta 6-Azauracil Sensitivity
DBF2	226	YGR092W	Ser/Thr kinase involved in transcription and stress response; functions as part of a network of genes in exit from mitosis; localization is cell cycle regulated; activated by Cdc15p during the exit from mitosis; also plays a role in regulating the stability of SWI5 and CLB2 mRNAs; phosphorylates Chs2p to regulate primary septum formation and Hof1p to regulate cytokinesis; DBF2 has a paralog, DBF20, that arose from the whole genome duplication	DumbBell Former
DBP1	227	YPL119C	Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs; protein abundance increases in response to DNA replication stress; DBP1 has a paralog, DED1, that arose from the whole genome duplication	Dead Box Protein
DBP3	228	YGL078C	RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype	Dead Box Protein
DBP7	229	YKR024C	Putative ATP-dependent RNA helicase of the DEAD-box family; involved in ribosomal biogenesis; required at post-transcriptional step for efficient retrotransposition; essential for growth under anaerobic conditions	Dead Box Protein
DBR1	230	YKL149C	RNA lariat debranching enzyme; catalyzes debranching of lariat introns formed during pre-mRNA splicing; required for efficient Ty1 transposition; knockdown of human homolog Dbr1 rescues toxicity of RNA-binding proteins TDP-43 and FUS which are implicated in amyotrophic lateral sclerosis (ALS), suggests potential therapeutic target for ALS and related TDP-43 proteinopathies; human homolog DBR1 can complement yeast dbr1 null mutant	DeBRanching
DCC1	231	YCL016C	Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance	Defective in sister Chromatid Cohesion
DCN1	232	YLR128W	Scaffold-type E3 ligase; required for cullin neddylation and ubiquitin ligase activation; contains a ubiquitin-binding domain (UBA) for ubiquitin and Nedd8 (Rub1p) interaction and a PONY domain involved in cullin binding and neddylation	Defective in Cullin Neddylation
DDC1	233	YPL194W	DNA damage checkpoint protein; part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate; forms nuclear foci upon DNA replication stress	DNA Damage Checkpoint
DEG1	234	YFL001W	tRNA:pseudouridine synthase; introduces pseudouridines at position 38 or 39 in tRNA; also responsible for pseudouracil modification of some mRNAs; important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability	DEpressed Growth rate
DEP1	235	YAL013W	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis
DER1	236	YBR201W	ER membrane protein that promotes export of misfolded polypeptides; required for ER-associated protein degradation of misfolded or unassembled proteins; initiates export of aberrant polypeptides from ER lumen by threading them into ER membrane and routing them to Hrd1p for ubiquitination; function normally requires N-terminal acetylation by NatB; N- and C- termini protrude into cytoplasm; similar to Dfm1p; homolog of mammalian derlin-1	Degradation in the Endoplasmic Reticulum
DFG10	237	YIL049W	Probable polyprenol reductase; catalyzes conversion of polyprenol to dolichol, the precursor for N-glycosylation; involved in filamentous growth; mutations in human homolog SRD5A3 confer CDG (Congenital Disorders of Glycosylation); human SRD5A3 can complement yeast null mutant	Defective for Filamentous Growth
DFG16	238	YOR030W	Probable multiple transmembrane protein; involved in diploid invasive and pseudohyphal growth upon nitrogen starvation; is glycosylated and phosphorylated; interacts with Rim21p and Rim9p in the plasma membrane to form a pH-sensing complex in the Rim101 pathway and is required to maintain Rim21p levels; required for accumulation of processed Rim101p	Defective for Filamentous Growth
DGK1	196	YOR311C	Diacylglycerol kinase; localized to the endoplasmic reticulum (ER); overproduction induces enlargement of ER-like membrane structures and suppresses a temperature-sensitive sly1 mutation; contains a CTP transferase domain	DiacylGlycerol Kinase
DGR2	207	YKL121W	Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog, YMR102C, that arose from the whole genome duplication	2-Deoxy-Glucose Resistant 2
DIA2	239	YOR080W	Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase, completion of DNA replication during recovery from DNA damage, assembly of RSC complex, RSC-mediated transcription regulation, and nucleosome positioning; involved in invasive and pseudohyphal growth	Digs Into Agar
DIE2	9	YGR227W	Dolichyl-phosphoglucose-dependent alpha-1,2-glucosyltransferase; located in the ER; functions in pathway that synthesizes the dolichol-linked oligosaccharide precursor for N-linked protein glycosylation; has a role in regulation of ITR1 and INO1; human homolog ALG10B can complement yeast die2 null mutant	Derepression of ITR1 Expression
DJP1	240	YIR004W	Cytosolic J-domain-containing protein; required for peroxisomal protein import and involved in peroxisome assembly; facilitates import of Mim1p and Mim2p into the mitochondrial outer membrane; homologous to E. coli DnaJ	DnaJ Protein
DMA1	241	YHR115C	Ubiquitin-protein ligase (E3); controls septin dynamics, spindle position checkpoint (SPOC) with ligase Dma2p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ubiquitinates cyclin Pcl1p; ortholog of human RNF8, similar to human Chfr; contains FHA, RING fingers; DMA1 has a paralog, DMA2, that arose from the whole genome duplication	Defective in Mitotic Arrest
DMA2	242	YNL116W	Ubiquitin-protein ligase (E3); controls septin dynamics and spindle position checkpoint (SPOC) with ligase Dma1p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8, similar to human Chfr; contains FHA and RING finger domains; DMA2 has a paralog, DMA1, that arose from the whole genome duplication	Defective in Mitotic Arrest
DNF1	243	YER166W	Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF1 has a paralog, DNF2, that arose from the whole genome duplication	Drs2 Neo1 Family
DNM1	244	YLL001W	Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L, which mediates mitochondrial fission, peroxisomal division, autophagy, and mitophagy, are associated with slowly progressive infantile encephalopathy	DyNaMin-related
DOA1	245	YKL213C	WD-repeat protein involved in ubiquitin-mediated protein degradation; Ub-binding protein with a role in Ub homeostasis; substrate-recruiting adaptor for Cdc48p in mitochondria-associated degradation; inhibits degradation of Ufd2p-dependent substrates; facilitates proteolysis of Cse4p, a centromeric H3-like protein; required for ribophagy; promotes NHEJ in postdiauxic/stationary phase; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon DNA replication stress	Degradation Of Alpha
DOA4	246	YDR069C	Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication	Degradation Of Alpha
DOC1	247	YGL240W	Processivity factor; required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain	Destruction Of Cyclin B
DOM34	248	YNL001W	Protein that facilitates ribosomal subunit dissociation; Dom34-Hbs1 complex and Rli1p have roles in dissociating inactive ribosomes to facilitate translation restart, particularly ribosomes stalled in 3' UTRs; required for RNA cleavage in no-go decay, but reports conflict on endonuclease activity; Pelota ortholog; protein abundance increases in response to DNA replication stress; DOM34 has a paralog, YCL001W-B, that arose from the whole genome duplication	Duplication Of Multilocus region
DOT1	249	YDR440W	Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing, meiotic checkpoint control, and DNA damage response	Disruptor Of Telomeric silencing
DOT6	250	YER088C	Protein involved in rRNA and ribosome biogenesis; activated in stochastic pulses of nuclear localization; binds polymerase A and C motif; subunit of the RPD3L histone deacetylase complex; has chromatin specific SANT domain; involved in telomeric gene silencing and filamentation; relative distribution to the nucleus increases upon DNA replication stress	Disruptor Of Telomeric silencing
DPB11	251	YJL090C	DNA replication initiation protein; loads DNA pol epsilon onto pre-replication complexes at origins; checkpoint sensor recruited to stalled replication forks by the checkpoint clamp complex where it activates Mec1p; along with Rfa1p, binds to ultrafine anaphase bridges in mitotic cells and prevents accumulation of chromatin bridges by stimulating the Mec1p kinase and suppressing homologous recombination; ortholog of human TopBP1; forms nuclear foci upon DNA replication stress	DNA Polymerase B (II)
DPB2	252	YPR175W	Second largest subunit of DNA polymerase II (DNA polymerase epsilon); required for maintenance of fidelity of chromosomal replication; essential motif in C-terminus is required for formation of the four-subunit Pol epsilon; expression peaks at the G1/S phase boundary; Cdc28p substrate	DNA Polymerase B subunit 2
DPB3	253	YBR278W	Third-largest subunit of DNA polymerase II (DNA polymerase epsilon); required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; stabilizes the interaction of Pol epsilon with primer-template DNA, positively affecting the processivity of the polymerase and exonuclease activities of Pol epsilon; mRNA abundance peaks at the G1/S boundary of the cell cycle; DPB3 has a paralog, DLS1, that arose from the whole genome duplication	DNA Polymerase B (II) subunit
DPB4	253	YDR121W	Subunit of DNA pol epsilon and of ISW2 chromatin accessibility complex; involved in both chromosomal DNA replication and inheritance of telomeric silencing; stabilizes the interaction of Pol epsilon with primer-template DNA, positively affecting the processivity of the polymerase and exonuclease activities of Pol epsilon; interacts with extranucleosomal DNA and acts as anchor point for ISW2 complex that retains its position on DNA during nucleosome mobilization	DNA Polymerase B (II) subunit
DPL1	254	YDR294C	Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate	Dihydrosphingosine Phosphate Lyase
DRS2	255	YAL026C	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease	Deficiency of Ribosomal Subunits
DSD1	256	YGL196W	D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate	NA
DSE3	257	YOR264W	Daughter cell-specific protein, may help establish daughter fate; relocalizes from bud neck to cytoplasm upon DNA replication stress	Daughter Specific Expression
DSS4	258	YPR017C	Guanine nucleotide dissociation stimulator for Sec4p; functions in the post-Golgi secretory pathway; binds zinc, found both on membranes and in the cytosol	Dominant Suppressor of Sec4
DST1	259	YGL043W	General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress	DNA Strand Transfer
DUG2	260	YBR281C	Component of glutamine amidotransferase (GATase II); forms a complex with Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p)	Deficient in Utilization of Glutathione
DUS3	261	YLR401C	Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress	DihydroUridine Synthase
DYN1	262	YKR054C	Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p	DYNein
DYN2	263	YDR424C	Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments	DYNein
DYN3	61	YMR299C	Dynein light intermediate chain (LIC); localizes with dynein, null mutant is defective in nuclear migration	DYNein
EAF1	264	YDR359C	Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1	Esa1p-Associated Factor
EAF3	265	YPR023C	Component of the Rpd3S histone deacetylase complex; Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition	Esa1p-Associated Factor
EAF6	24	YJR082C	Subunit of the NuA4 acetyltransferase complex; this complex acetylates histone H4 and NuA3 acetyltransferase complex that acetylates histone H3	Esa1p-Associated Factor
EAF7	266	YNL136W	Subunit of the NuA4 histone acetyltransferase complex; NuA4 acetylates the N-terminal tails of histones H4 and H2A	Esa1-Associated Factor
EAP1	267	YKL204W	eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade	EIF4E-Associated Protein
ECM18	268	YDR125C	Protein of unknown function; ECM18 has a paralog, ICT1, that arose from the whole genome duplication	ExtraCellular Mutant
ECM2	269	YBR065C	Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p	ExtraCellular Mutant
ECM21	270	YBL101C	Protein involved in regulating endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements; ECM21 has a paralog, CSR2, that arose from the whole genome duplication	ExtraCellular Mutant
ECM30	271	YLR436C	Protein of unknown function; may play a role in cell wall biosynthesis, mutants have abormal relative levels of mannose and glucose and have Gap1p sorting and transport defects; (GFP)-fusion protein localizes to the cytoplasm	ExtraCellular Mutant
ECM33	272	YBR078W	GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication	ExtraCellular Mutant
ECM5	273	YMR176W	Subunit of the Snt2C complex; physically associates with Snt2p and Rpd3p; along with Snt2p, recruits Rpd3p to a small number of promoters; also colocalizes with Snt2p, independently of Rpd3p, to promoters of stress response genes in response to oxidative stress; contains ATP/GTP-binding site motif A; null mutant exhibits increased cellular volume, large drooping buds with elongated necks; relative distribution to the nucleus increases upon DNA replication stress	ExtraCellular Mutant
ECM8	274	YBR076W	Non-essential protein of unknown function	ExtraCellular Mutant
EDC3	275	YEL015W	Non-essential conserved protein with a role in mRNA decapping; specifically affects the function of the decapping enzyme Dcp1p; mediates decay of the RPS28B mRNA via binding to both Rps28Bp (or Rps28Ap) and the RPS28B mRNA; mediates decay of the YRA1 mRNA by a different, translation-independent mechanism; localizes to cytoplasmic mRNA processing bodies; forms cytoplasmic foci upon DNA replication stress	Enhancer of mRNA DeCapping
EDE1	276	YBL047C	Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15	EH Domains and Endocytosis
EFT2	277	YDR385W	Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT2 has a paralog, EFT1, that arose from the whole genome duplication	Elongation Factor Two
EGD1	278	YPL037C	Subunit beta1 of the nascent polypeptide-associated complex (NAC); involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b; EGD1 has a paralog, BTT1, that arose from the whole genome duplication	Enhancer of Gal4 DNA binding
ELA1	279	YNL230C	Elongin A; F-box protein that forms a heterodimer with Elc1p and is required for ubiquitin-dependent degradation of the RNA Polymerase II subunit Rpo21p; subunit of the Elongin-Cullin-Socs (ECS) ligase complex	ELongin A
ELC1	280	YPL046C	Elongin C, conserved among eukaryotes; forms a complex with Cul3p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; plays a role in global genomic repair	ELongin C
ELF1	281	YKL160W	Transcription elongation factor with a conserved zinc finger domain; implicated in the maintenance of proper chromatin structure in actively transcribed regions; deletion inhibits Brome mosaic virus (BMV) gene expression	ELongation Factor
ELG1	282	YOR144C	Subunit of an alternative replication factor C complex; important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis; required for PCNA (Pol30p) unloading during DNA replication	Enhanced Level of Genomic instability
ELM1	283	YKL048C	Serine/threonine protein kinase; regulates the orientation checkpoint, the morphogenesis checkpoint and the metabolic switch from fermentative to oxidative metabolism by phosphorylating the activation loop of Kin4p, Hsl1p and Snf4p respectively; cooperates with Hsl7p in recruiting Hsl1p to the septin ring, a prerequisite for subsequent recruitment, phosphorylation, and degradation of Swe1p; forms part of the bud neck ring; regulates cytokinesis	ELongated Morphology
ELP2	284	YGR200C	Subunit of Elongator complex; binds to microtubules via conserved alkaline residues; has two seven-bladed WD40 &#946; propellers; Elongator complex is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin	ELongator Protein
ELP3	284	YPL086C	Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; exhibits histone acetyltransferase activity that is directed to histones H3 and H4; disruption confers resistance to K. lactis zymotoxin; human homolog ELP3 can partially complement yeast elp3 null mutant	ELongator Protein
